ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0132871421349,0.00691081682847,0.0277186050744,0.243374691918,0.708708744044
2,0.734427667804,0.00627002932877,0.0112461211777,0.226786753883,0.0212694278064
3,0.453607526838,0.00801723942945,0.0105496631795,0.124314017107,0.403511553446
4,0.527984918847,0.0125200589072,0.024384652263,0.135101654744,0.300008715238
5,0.502591472281,0.00674423969608,0.0108694940953,0.386537320551,0.0932574733772
6,0.105699106831,0.00695399972216,0.0209678684021,0.614304226033,0.252074799011
7,0.231245285052,0.00624973142492,0.67577809298,0.0707849029958,0.0159419875474
8,0.812277421101,0.00794115652269,0.0197599399574,0.0183051842095,0.141716298209
9,0.836862953276,0.00707998735021,0.00455360435611,0.0956144666186,0.0558889883991
10,0.527419355619,0.00768261058783,0.018854963693,0.360743113033,0.0852999570666
11,0.82571660683,0.00697002476255,0.00418309881649,0.0839388608057,0.0791914087848
12,0.0145535703742,0.00651870818321,0.181934738259,0.300677221593,0.496315761591
13,0.640364250441,0.00800994903793,0.0144662876348,0.16297613716,0.174183375726
14,0.546711670012,0.0100685217348,0.0454994768601,0.124812753615,0.272907577778
15,0.762718274026,0.00654757811639,0.00335898977648,0.18302978134,0.0443453767407
16,0.80695746135,0.00699506642191,0.00414216150654,0.122245013601,0.0596602971204
17,0.157109445143,0.00700117702296,0.0601701262198,0.536610490618,0.239108760996
18,0.30771796184,0.00696670023486,0.00978027865305,0.583109498519,0.0924255607535
19,0.366066971628,0.00860361660406,0.0312734208243,0.180365559049,0.413690431894
20,0.0157260077257,0.00734593487304,0.285413900552,0.0439969231382,0.647517233711
21,0.476001666579,0.00887417911324,0.0135454994961,0.166059667904,0.335518986908
22,0.00459740410801,0.00740704257355,0.0804617599387,0.0102316305073,0.897302162872
23,0.560728954655,0.00700318063423,0.00411698378238,0.126263259933,0.301887620996
24,0.147949014541,0.00788146455196,0.0642454295257,0.00161346591789,0.778310625464
