ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0734,0.0002,0.0614,0.235,0.63
2,0.8256,0.0,0.0052,0.121,0.0482
3,0.156423333333,0.001,0.0034,0.681643333333,0.157533333333
4,0.3133,0.001,0.027,0.2175,0.4412
5,0.3846,0.0,0.008,0.5536,0.0538
6,0.135,0.0002,0.0232,0.71,0.1316
7,0.482213333333,0.0162,0.1236,0.1636,0.214386666667
8,0.596366666667,0.0012,0.0214,0.0382,0.342833333333
9,0.863,0.0,0.0026,0.0434,0.091
10,0.6018,0.0,0.0544333333333,0.298566666667,0.0452
11,0.82,0.0002,0.0012,0.0846,0.094
12,0.0732,0.0006,0.085,0.1832,0.658
13,0.6322,0.0002,0.0296,0.1252,0.2128
14,0.753,0.0008,0.0154,0.085,0.1458
15,0.7844,0.0002,0.0002,0.1982,0.017
16,0.80328,0.0,0.0012,0.12232,0.0732
17,0.2736,0.0022,0.0362,0.514733333333,0.173266666667
18,0.4878,0.0018,0.0222,0.379,0.1092
19,0.217,0.0028,0.032,0.1306,0.6176
20,0.0426,0.0068,0.18,0.0284,0.7422
21,0.40005,0.0024,0.0164,0.2548,0.32635
22,0.0632,0.0006,0.0188,0.00456666666667,0.912833333333
23,0.555,0.0002,0.0042,0.2076,0.233
24,0.0462,0.0026,0.0294,0.0006,0.9212
25,0.773963333333,0.0,0.0052,0.1436,0.0772366666667
26,0.245,0.0046,0.1462,0.0302,0.574
27,0.7233,0.0042,0.0008,0.0072,0.2645
28,0.0672,0.0356,0.192003333333,0.0214,0.683796666667
29,0.532,0.0,0.048,0.2615,0.1585
30,0.0918,0.0,0.014,0.834468095238,0.0597319047619
31,0.2186,0.0026,0.061,0.1466,0.5712
32,0.8045,0.0002,0.0038,0.0452,0.1463
33,0.1828,0.013,0.178493333333,0.0616,0.564106666667
34,0.933233333333,0.0042,0.0026,0.023,0.0369666666667
35,0.4905,0.0130933333333,0.0123,0.0018,0.482306666667
36,0.5306,0.0018,0.0266,0.165,0.276
37,0.1202,0.0042,0.0692,0.0406,0.7658
38,0.8954,0.0,0.001,0.0443,0.0593
39,0.344,0.0,0.0156,0.537,0.1034
40,0.4628,0.0006,0.0392,0.1676,0.3298
41,0.1305,0.0012,0.0162,0.3824,0.4697
42,0.0402,0.02806,0.0235666666667,0.0002,0.907973333333
43,0.471093333333,0.0002,0.0316,0.18784,0.309266666667
44,0.0104,0.008,0.0302,0.0038,0.9476
45,0.1814,0.0084,0.2372,0.0374,0.5356
46,0.511,0.0016,0.0488,0.1194,0.3192
47,0.393283333333,0.0088,0.0496,0.157,0.391316666667
48,0.41135,0.0,0.0206833333333,0.39825,0.169716666667
49,0.3394,0.0,0.038,0.4414,0.1812
50,0.075,0.003,0.0452,0.2426,0.6342
51,0.266533333333,0.0454,0.0398,0.0102,0.638066666667
52,0.2006,0.0042,0.0334,0.6054,0.1564
53,0.95576,0.0032,0.003,0.0138,0.02424
54,0.233516666667,0.0168,0.0197333333333,0.0038,0.72615
55,0.2394,0.0076,0.1896,0.036,0.5274
56,0.550166666667,0.0036,0.0318,0.1647,0.249733333333
57,0.4784,0.0,0.022,0.3586,0.141
